"sampled_at_utc","elapsed_ms","task_count","broker_queue_length","active_workers","pending_outbox_count","completed_last_minute"
"2026-07-10T16:52:19.4140640Z","341.042","0","0","0","0","0"
"2026-07-10T16:52:19.9655443Z","892.523","0","0","0","0","0"
"2026-07-10T16:52:20.5162441Z","1443.222","0","0","0","0","0"
"2026-07-10T16:52:21.0602467Z","1987.225","0","0","0","0","0"
"2026-07-10T16:52:21.6175833Z","2544.562","0","0","0","0","0"
"2026-07-10T16:52:22.1729334Z","3099.912","0","0","0","0","0"
"2026-07-10T16:52:22.7304852Z","3657.464","0","0","0","0","0"
"2026-07-10T16:52:23.2977203Z","4224.699","0","0","0","0","0"
"2026-07-10T16:52:23.8537853Z","4780.764","10","0","0","10","0"
"2026-07-10T16:52:24.4101981Z","5337.176","25","13","0","6","6"
"2026-07-10T16:52:24.9642577Z","5891.236","35","16","1","6","13"
"2026-07-10T16:52:25.5471420Z","6474.12","50","29","0","2","20"
"2026-07-10T16:52:26.1132209Z","7040.199","65","30","1","7","27"
"2026-07-10T16:52:26.6551221Z","7582.1","75","40","1","0","34"
"2026-07-10T16:52:27.2271783Z","8154.157","75","32","1","0","41"
