prediction_error,strategy,baseline,metric,seed_count,mean_delta,median_delta,mean_relative_change,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high
exact,oracle_sjf,fifo,average_wait_time,30,-19.14973650993286,-12.343259565548422,-0.6553366949607127,-26.209220339930578,-13.427907271195954,-17.22016110186409,-10.89817767464132
exact,oracle_sjf,fifo,p95_wait_time,30,-37.64106899025166,-33.27094980056165,-0.5697816618779377,-46.14038025653219,-29.832826060839913,-43.45454933132473,-25.276928600433166
exact,oracle_sjf,fifo,p99_wait_time,30,25.391791559576863,2.3832198527759942,0.17773520179479518,3.7704715157028934,53.27371443911378,-7.569718277969457,13.230700854937481
exact,oracle_sjf,fifo,p99_slowdown,30,-148.37719227104097,-115.64352597282362,-0.7571335541579383,-185.99260976956796,-114.9762282231023,-156.42264518621135,-85.0461649267384
exact,oracle_sjf,fifo,slo_violation_rate,30,-0.4404,-0.421,-0.7063193345844023,-0.4937333333333333,-0.384,-0.495,-0.365
exact,oracle_sjf,fifo,long_p99_wait_time,30,236.25600208833617,168.6631485360324,2.77318082242895,162.30781520147528,329.24228252103603,112.9888448744747,221.6515960527064
exact,oracle_sjf,fifo,long_p99_slowdown,30,-1.2491099804372885,-2.275993244141087,-0.05693140018393284,-4.183450213953281,1.8891227631722824,-5.141286750652657,0.6980861283963584
exact,predicted_sjf,fifo,average_wait_time,30,-19.14973650993286,-12.343259565548422,-0.6553366949607127,-26.020086139325297,-13.476740737793772,-17.22016110186409,-10.653064379494392
exact,predicted_sjf,fifo,p95_wait_time,30,-37.64106899025166,-33.27094980056165,-0.5697816618779377,-45.703928972360664,-30.12815760150336,-43.45454933132473,-25.276928600433166
exact,predicted_sjf,fifo,p99_wait_time,30,25.391791559576863,2.3832198527759942,0.17773520179479518,3.391501857969596,52.25829185739964,-7.569718277969457,13.230700854937481
exact,predicted_sjf,fifo,p99_slowdown,30,-148.37719227104097,-115.64352597282362,-0.7571335541579383,-186.0811277723198,-114.67586049626193,-156.42264518621135,-85.0461649267384
exact,predicted_sjf,fifo,slo_violation_rate,30,-0.4404,-0.421,-0.7063193345844023,-0.49213333333333337,-0.38733333333333336,-0.495,-0.367
exact,predicted_sjf,fifo,long_p99_wait_time,30,236.25600208833617,168.6631485360324,2.77318082242895,163.66129650335685,323.5889004587922,112.9888448744747,221.6515960527064
exact,predicted_sjf,fifo,long_p99_slowdown,30,-1.2491099804372885,-2.275993244141087,-0.05693140018393284,-4.099555810716778,1.8661845899655094,-5.141286750652657,0.6980861283963584
high,oracle_sjf,fifo,average_wait_time,30,-19.14973650993286,-12.343259565548422,-0.6553366949607127,-25.883011669834058,-13.472238432565298,-17.22016110186409,-10.524186871875703
